Use		Id	Grp	7	7	7			10	10	10			11	11	11			14	14	14			17	17	17			19	19	19			21	21	21			23	23	23			25	25	25			27	27	27			29	29	29		
	Cage	Color	Treatment	L	W	V	"day 7"	SEM	L	W	V	"day 9"	SEM	L	W	V	"day 11"	SEM	L	W	V	"day 14"	SEM	L	W	V	"day 17"	SEM	L	W	V	"day 19"	SEM	W	L	V	"day 21"	SEM	W	L	V			W	L	V			W	L	V			W	L	V		
x	7	blue	NF	4,34	5	21,7			6,08	5,45	33,136			7,03	5,56	39,0868			5,54	6,96	38,5584			8,25	7,52	62,04			7,37	6,26	46,1362			6,22	6,6	41,052			7,12	8,6	61,232			8,19	7,94	65,0286			8,65	8,82	76,293			9,67	9,06	87,6102		
x	7	red	NF	3,3	3,76	12,408			7,26	6,94	50,3844			7,92	8,89	70,4088			10,68	11,17	119,2956			11,4	10,03	114,342			12,51	12	150,12			16,14	12,42	200,4588																						
x	8	0	MTX	4,53	5,59	25,3227	23,8496111111111	1,57993738709686	6,5	5,58	36,27	36,0364333333333	1,83830633279163	8,15	6,18	50,367	44,5554333333333	2,50341752546757	6,15	9,53	58,6095	55,3848777777778	4,09957720951413	9,94	6,38	63,4172	68,3468777777778	5,19750699675461	10,37	6,66	69,0642	80,6505555555556	5,17034770424123	8,01	6,73	53,9073	80,3572777777778	7,58326592032474	9,9	6,61	65,439	85,4523222222222	8,44918799756115	9,28	6,64	61,6192	95,1820222222222	10,1142353482916	9,18	7,64	70,1352	109,499133333333	11,5527141621175	10,15	9,11	92,4665	122,391177777778	17,2096349330422
x	8	blue	MTX	4,19	4,51	18,8969			5,52	5,75	31,74			6,64	5,8	38,512			5,97	6	35,82			8,1	6,91	55,971			9,57	8,77	83,9289			9,02	8,17	73,6934			9,58	10,52	100,7816			11,29	9	101,61			10,76	11,05	118,898			10,78	10,8	116,424		
x	8	red	MTX	5,26	4,7	24,722			5,6	5,05	28,28			6,24	6,62	41,3088			7,82	6,78	53,0196			8	7,31	58,48			10,2	9,66	98,532			8,16	6,21	50,6736			8,55	8,6	73,53			9,28	7,79	72,2912			8,96	8,79	78,7584			7,52	7,5	56,4		
x	9	0	MTX	5,32	5,13	27,2916			6,7	6,39	42,813			6,34	6,14	38,9276			7,94	7,06	56,0564			8,05	8	64,4			8,25	8,11	66,9075			9,25	9,43	87,2275			7,78	7,26	56,4828			8,59	8,11	69,6649			9,54	8,36	79,7544			11,87	8,03	95,3161		
x	9	green	MTX	4,77	5,26	25,0902			6,29	5,53	34,7837			6,72	6,74	45,2928			7,65	7,94	60,741			8,98	8	71,84			9,56	8,4	80,304			10,23	9,43	96,4689			11,93	7,55	90,0715			11,75	7,53	88,4775			10,18	8,79	89,4822			8,53	7,06	60,2218		
x	9	blue	MTX	4,66	5,84	27,2144			5,94	6,14	36,4716			6,41	5,64	36,1524			6,48	6,5	42,12			7,95	7,16	56,922			8,72	8,7	75,864			9,25	9,4	86,95			10,14	8,7	88,218			11,65	10,78	125,587			12,93	12,35	159,6855			15,14	13,85	209,689		
x	9	red	MTX	5,53	5,83	32,2399			8,71	5,24	45,6404			8,36	6,2	51,832			7,3	9,55	69,715			8,05	10,19	82,0295			10,77	7	75,39			11,64	7,07	82,2948			11,92	8,79	104,7768			11,64	9,46	110,1144			12,79	10	127,9			12,45	10,75	133,8375		
x	10	0	MTX	4	4,02	16,08			5,46	5,16	28,1736			6,89	5,47	37,6883			5,94	7,38	43,8372			8,06	6,73	54,2438			8,31	7,24	60,1644			7,5	8	60			8,08	6,15	49,692			8,09	8	64,72			9,91	8,57	84,9287			12,31	9,99	122,9769		
x	10	red	MTX	4,36	4,08	17,7888			6,54	6,14	40,1556			9,23	6,6	60,918			10,97	7,16	78,5452			12,28	8,78	107,8184			11,57	10	115,7			13,75	9,6	132			13,24	10,58	140,0792			13,66	11,9	162,554			15,34	11,47	175,9498			15,68	13,66	214,1888		
x	11	0	HC+MTX	5,07	5,1	25,857	22,5997333333333	1,24447010327872	5,53	4,85	26,8205	24,6235888888889	1,63840021150376	7,7	6,82	52,514	32,1673777777778	2,88627765484518	7,39	7,15	52,8385	36,8524	2,35422927365933	10,06	7,77	78,1662	47,3071222222222	4,21585016541412	8,21	8,27	67,8967	53,5664222222222	4,55704536052737	8,58	9,02	77,3916	54,4340777777778	4,23454477476564	8,55	8,18	69,939	48,8286666666667	4,80173045694324	9,06	8,77	79,4562	55,1886222222222	6,26665907363539	9,91	10,34	102,4694	70,8336333333333	7,60976022194225	11,31	10,68	120,7908	81,9040888888889	8,40065290808676
x	11	green	HC+MTX	5,23	5,37	28,0851			5,83	6,06	35,3298			5,84	6,79	39,6536			5,46	6,4	34,944			7,48	6,71	50,1908			6,1	5,76	35,136			6,37	6,59	41,9783			5,45	5,75	31,3375			5,96	5,93	35,3428			5,94	6,04	35,8776			6,89	7,7	53,053		
x	11	red	HC+MTX	4,8	4,18	20,064			4,64	3,88	18,0032			5,1	5,76	29,376			6,8	5,33	36,244			6,94	5,91	41,0154			5,82	6,55	38,121			6,34	6,12	38,8008			5,81	5,22	30,3282			6,8	6,15	41,82			7,86	7,12	55,9632			7,63	9,12	69,5856		
x	12	black	HC+MTX	4,88	4,82	23,5216			5,16	4,91	25,3356			6,25	5,67	35,4375			5,35	5,21	27,8735			5,97	6,35	37,9095			7,85	6,73	52,8305			7,84	7,9	61,936			7,31	7,91	57,8221			7,17	8,95	64,1715			10,03	10,53	105,6159			10,84	10,44	113,1696		
x	12	green	HC+MTX	4,28	4,85	20,758			4,15	4,55	18,8825			4,45	4,73	21,0485			5,14	5,5	28,27			5,22	6,42	33,5124			6,84	6,45	44,118			7,15	6,64	47,476			7	6,19	43,33			5,89	5,9	34,751			6,12	6,19	37,8828			6,68	6,14	41,0152		
x	12	blue	HC+MTX	5,03	5,29	26,6087			4,91	5,35	26,2685			5,27	4,86	25,6122			5,36	5,76	30,8736			6,04	6,14	37,0856			7,37	6,26	46,1362			6,24	6,31	39,3744			5,96	5,7	33,972			6,52	6,63	43,2276			9,24	8,5	78,54			9,7	8,81	85,457		
x	12	red	HC+MTX	4,86	5,06	24,5916			5,23	5,3	27,719			5,73	5,85	33,5205			6,8	5,72	38,896			7,01	6,32	44,3032			7,86	7,8	61,308			8,87	8	70,96			8	8,15	65,2			8,53	8,57	73,1021			8,42	8,77	73,8434			10,01	9,49	94,9949		
x	13	black	HC+MTX	4,12	3,93	16,1916			4,68	5,08	23,7744			5,17	4,78	24,7126			7,6	5,5	41,8			9,74	6,15	59,901			10,69	7,72	82,5268			8,24	6,24	51,4176			6,43	6,5	41,795			6,15	6,12	37,638			6,68	9,28	61,9904			6,84	8,58	58,6872		
x	13	blue	HC+MTX	4	4,43	17,72			4,18	4,66	19,4788			5,45	5,07	27,6315			5,96	6,7	39,932			6,72	6,5	43,68			6,77	7,98	54,0246			7,6	7,97	60,572			7,77	8,46	65,7342			9,72	8,97	87,1884			9,48	9	85,32			10,15	9,89	100,3835		
x	14	0	NF+MTX	4	4	16	22,0720375	1,82874041779908	3,73	4,89	18,2397	22,6936	2,6341963224781	4,87	4,96	24,1552	30,0512625	2,93542293149784	5,04	4,4	22,176	34,621075	4,65943373719804	4,5	4,65	20,925	43,937125	6,44486894801233	4,68	4,37	20,4516	46,0291875	7,5068820386562	5,25	5,3	27,825	57,391375	7,5520290300202	5,2	5,11	26,572	57,760975	7,23684247340722	6,05	5,12	30,976	74,613525	10,8618103777598	6,36	6	38,16	92,3965	11,817891516498	7,49	7,8	58,422	107,1773875	12,3478149745271
x	14	black	NF+MTX	4,9	3,71	18,179			6,74	4,75	32,015			5,7	5,81	33,117			7,65	6,06	46,359			9,4	8,04	75,576			8,4	7,9	66,36			7,86	7,88	61,9368			9,73	8	77,84			11,2	9,03	101,136			11,43	9,45	108,0135			11,15	10,4	115,96		
x	14	red	NF+MTX	4,5	3,82	17,19			3,7	3,46	12,802			3,8	3,55	13,49			3,89	3,58	13,9262			4,58	4,36	19,9688			4,68	4,37	20,4516			7,06	6,19	43,7014			7,12	7,06	50,2672			8,21	7,9	64,859			8,06	8,53	68,7518			9,96	8,98	89,4408		
x	15	0	NF+MTX	4,54	6	27,24			5,36	5,45	29,212			5,53	5,93	32,7929			6,32	5,11	32,2952			5,64	7,31	41,2284			6,54	5,48	35,8392			7,42	7,54	55,9468			7,68	6,03	46,3104			8,07	6,1	49,227			9,39	7,63	71,6457			9,88	9,67	95,5396		
x	15	black	NF+MTX	4,29	5,07	21,7503			3,68	4,04	14,8672			4,68	5,77	27,0036			4,9	6,4	31,36			7,4	5,63	41,662			7,01	7,06	49,4906			7,6	7,9	60,04			7,82	8,02	62,7164			9,29	8,42	78,2218			9,48	10,84	102,7632			9,82	11,46	112,5372		
x	15	green	NF+MTX	5,57	5,1	28,407			5,8	5,28	30,624			6,24	5,84	36,4416			8,04	6,93	55,7172			6,07	8,32	50,5024			9,31	8,28	77,0868			10,15	8,47	85,9705			9,66	8,22	79,4052			10,31	10,02	103,3062			11,73	12,15	142,5195			13,21	12,87	170,0127		
x	15	blue	NF+MTX	5,65	5	28,25			5,4	4,58	24,732			6,07	6,54	39,6978			6,5	6,22	40,43			7,1	6,32	44,872			6,75	5,39	36,3825			6,66	5,54	36,8964			5,44	7,1	38,624			8,47	6,05	51,2435			7,63	11,01	84,0063			10,23	7,72	78,9756		
x	15	red	NF+MTX	4,89	4	19,56			4,57	4,17	19,0569			6,02	5,6	33,712			6,31	5,5	34,705			8,04	7,06	56,7624			8,54	7,28	62,1712			8,57	10,13	86,8141			8,53	9,42	80,3526			10,83	10,89	117,9387			11,01	11,2	123,312			12,48	10,94	136,5312		
